0,1,2
-2.0178593736460697e-11,1.0498385592320993e-11,1.3210187987891052e-12
3.0333730881361964e-10,1.1184088704771344e-10,2.904263958256174e-11
-6.911711570994896e-12,2.338646017158438e-11,6.902683922475953e-12
6.439389477893981e-11,1.0473433338121627e-11,-1.4534206249639363e-11
-1.9922956215295122e-12,2.9141497634140535e-12,-2.983189185942054e-11
2.966830695594963e-14,-5.5960728267383096e-12,-3.39407092238644e-11
5.459004203218803e-13,-1.4987446788854786e-12,-2.0538929044983665e-11
-1.5620057644773384e-09,-4.641739919861241e-12,2.6097422279896393e-10
-1.565348182711283e-12,-2.4919506886770074e-12,-2.3943245744615547e-11
-8.016273403871208e-13,-5.704135584225309e-12,-3.5486593147140215e-11
8.284177368295734e-13,-4.352436167911441e-12,-3.64871197110037e-11
1.6366472456293495e-11,-1.4308794941261143e-10,-7.010506019185331e-11
-2.916108529288715e-12,-1.1890717675203348e-10,-2.142242527448943e-10
-1.2036711739250773e-12,-1.0210778673468337e-11,-6.356451450510914e-11
-2.6471962524718398e-11,4.522277836453802e-11,4.614213320404557e-12
4.219399570518807e-12,-2.582179115239161e-13,-8.883155948758758e-13
-1.2732383868645617e-13,-1.6660197986829098e-12,-2.250889241388929e-11
5.164911344706358e-13,-5.448006750724472e-13,-1.0356447323313287e-10
-1.8797581840027724e-11,-2.6725680771236676e-13,-3.313373904284134e-12
2.829756029958789e-12,7.378921257786074e-12,-3.9962593979610956e-11
1.914318728704297e-12,6.0873633163601315e-12,-3.38405546043315e-11
-2.2183469647816194e-11,2.5196807894494906e-11,2.620844911879828e-12
5.129248117947009e-10,1.5558918069211416e-10,-3.258061531377031e-11
1.4546921065433408e-09,4.965298090563581e-10,6.773828768801579e-11
-8.549482205597107e-11,-8.42926972939569e-12,1.004957363676211e-11
-7.171407558697585e-11,4.414095251963167e-11,2.302807427474e-11
-1.2748837498911303e-11,-1.6597187348760586e-11,-7.616934908882785e-11
1.391495012214575e-12,-8.551401040047287e-12,-4.2899184328556484e-11
4.740769964759914e-13,-3.0078132370991035e-12,-2.1259197287213754e-11
-9.342369414753724e-12,3.4368426427433037e-12,-1.9658769621640277e-12
8.272458649726554e-12,-2.2225278559906648e-11,-8.245701709185995e-11
5.853083814126572e-11,-1.240772791598006e-10,-1.1825311307139474e-11
-9.02219784488123e-13,6.049171189849916e-12,-5.3134590642490835e-11
3.6969040307857354e-12,-7.98038113469746e-12,-2.8339917237363687e-11
9.840364334871022e-13,1.025318643054304e-11,-3.2532861984426736e-11
1.279268174896746e-10,5.4096860070180875e-11,5.249417996544092e-12
2.002742268872462e-12,1.0016997616326817e-11,-6.663816653068486e-11
-5.837003558105584e-11,1.1567351250372583e-11,2.47552802548877e-12
3.4245028305361323e-13,1.0784064575067596e-11,-9.049256973374307e-11
1.0337617819899545e-12,1.1889155363672699e-12,-6.121276816564207e-11
-1.5128138788234747e-11,1.6370742521046227e-11,5.739500675993863e-12
4.805733078577472e-12,2.2436531898457387e-12,-5.486503050243862e-11
6.525493145216234e-13,1.273304285220626e-12,-1.0803484502747831e-12
1.1803180649581288e-11,-7.399200372198973e-13,-2.2597752321286293e-13
-3.3724475211918046e-10,-5.214616950941894e-10,9.627418420270862e-10
-2.0990697649466495e-11,-4.6644286063199246e-12,-1.3487305001568246e-12
-4.3406938524082516e-14,-2.8939683052015644e-11,-8.594479270889981e-11
-4.073469551967406e-11,2.4227122640272307e-13,-1.681742608292829e-12
-2.3062679885321817e-11,-1.0584778424862483e-12,1.4870397922301721e-12
2.3000936249435965e-14,8.089239235546434e-12,-2.6267525469580762e-11
-3.197980662557532e-13,-6.5611307257669955e-12,-3.337229507516933e-11
2.309103784906254e-12,3.1844071503208917e-12,-4.0477389509636125e-11
7.597508854478896e-10,2.740591927923197e-10,-3.984051384053169e-11
1.6223547697157164e-11,-4.474237650582186e-12,-3.237855280909904e-10
1.131162105176655e-10,1.6715341485929366e-10,-6.320742980820649e-11
3.0173777779651674e-11,-8.518900114115602e-11,-2.974938367556914e-10
2.2683401602901564e-11,8.867167308880014e-11,-5.152850005337511e-11
6.570585060080914e-11,7.141154890020219e-12,-8.348332285540113e-11
-1.056066823200665e-11,8.345702393928729e-11,-3.7278281188499174e-11
-3.027788960035894e-11,4.693043824835827e-11,-2.689480803993417e-11
